 fh_2_1,39.0334924014,-94.576292485
 fh_2_10,39.0337773169,-94.5764232427
 fh_2_11,39.033788776,-94.576530531
 fh_2_12,39.0337866925,-94.5766378194
 fh_2_13,39.0337939847,-94.5767618716
 fh_2_14,39.0337960681,-94.5768557489
 fh_2_15,39.0338007559,-94.5769502968
 fh_2_16,39.0337955473,-94.5770461857
 fh_2_17,39.0337064788,-94.577017352
 fh_2_18,39.0337075205,-94.5768832415
 fh_2_19,39.0337507526,-94.5768537372
 fh_2_2,39.0335830328,-94.5762918144
 fh_2_20,39.0337002284,-94.5767504722
 fh_2_21,39.0337023118,-94.5766746998
 fh_2_22,39.0336955405,-94.5765721053
 fh_2_23,39.0336981449,-94.5764896274
 fh_2_3,39.0336710597,-94.5762918144
 fh_2_4,39.0337403352,-94.5762488991
 fh_2_5,39.0337330431,-94.5762019604
 fh_2_6,39.0338002351,-94.5762804151
 fh_2_7,39.0338788861,-94.5762770623
 fh_2_8,39.0339481614,-94.5762710273
 fh_2_9,39.0337351265,-94.5763340592
 fh_3_1,39.0339939977,-94.5761945844
 fh_3_10,39.0334601075,-94.576216042
 fh_3_11,39.033462191,-94.5763038844
 fh_3_12,39.033462191,-94.5763984323
 fh_3_13,39.0337247092,-94.5763427764
 fh_3_14,39.0336908527,-94.5764105022
 fh_3_15,39.033705437,-94.57651712
 fh_3_16,39.0336924153,-94.5766505599
 fh_3_17,39.0336908527,-94.5767685771
 fh_3_18,39.033697624,-94.5768671483
 fh_3_19,39.0337028327,-94.5769838244
 fh_3_2,39.0339976437,-94.5762763917
 fh_3_20,39.0337752334,-94.5763977617
 fh_3_21,39.0338314871,-94.5765352249
 fh_3_22,39.0337872134,-94.5766076446
 fh_3_23,39.0337872134,-94.5766867697
 fh_3_24,39.0337820047,-94.576780647
 fh_3_25,39.0337919012,-94.5769194514
 fh_3_3,39.0340018107,-94.5763709396
 fh_3_4,39.0339632665,-94.5762663335
 fh_3_5,39.0338653435,-94.5762804151
 fh_3_6,39.033792422,-94.5762770623
 fh_3_7,39.0337304387,-94.5762763917
 fh_3_8,39.0336278276,-94.5762911439
 fh_3_9,39.0335418841,-94.5762830973
 fh_4_1,39.0339689961,-94.5762616396
 fh_4_10,39.0336882484,-94.5764963329
 fh_4_11,39.0336965823,-94.5766016096
 fh_4_12,39.0336991866,-94.5767088979
 fh_4_13,39.0337043953,-94.5768249035
 fh_4_14,39.0337111666,-94.5768979937
 fh_4_15,39.0337002284,-94.5770046115
 fh_4_16,39.0337596074,-94.5770709962
 fh_4_17,39.0338017977,-94.5770059526
 fh_4_18,39.0337997142,-94.5769228041
 fh_4_19,39.0337549195,-94.5768597722
 fh_4_2,39.0339127425,-94.5762817562
 fh_4_20,39.0337934638,-94.5767900348
 fh_4_21,39.0337861716,-94.576645866
 fh_4_22,39.033784609,-94.5765251666
 fh_4_23,39.0337757543,-94.57640782
 fh_4_3,39.0338346123,-94.57628645
 fh_4_4,39.0337424187,-94.5762871206
 fh_4_5,39.0336210563,-94.5762884617
 fh_4_6,39.0335465719,-94.5762944967
 fh_4_7,39.0334783379,-94.5762998611
 fh_4_8,39.0337273135,-94.5763695985
 fh_4_9,39.033685644,-94.5764031261
 fh_5_1,39.033941911,-94.5762556046
 fh_5_10,39.0335632398,-94.5763481408
 fh_5_11,39.0336684554,-94.5764359832
 fh_5_12,39.0336887692,-94.576548636
 fh_5_13,39.0336960614,-94.576677382
 fh_5_14,39.0336950197,-94.5767974108
 fh_5_15,39.0337023118,-94.5769415796
 fh_5_16,39.0337142918,-94.577050209
 fh_5_17,39.0337929429,-94.577030763
 fh_5_18,39.0337903386,-94.5769013464
 fh_5_19,39.0337377309,-94.5768664777
 fh_5_2,39.0338616975,-94.5762596279
 fh_5_20,39.0337898177,-94.5767544955
 fh_5_21,39.0337851299,-94.5765928924
 fh_5_22,39.0337830464,-94.5765157789
 fh_5_23,39.0337851299,-94.5764393359
 fh_5_24,39.0337528361,-94.5763910562
 fh_5_3,39.0337908594,-94.5762656629
 fh_5_4,39.0336924153,-94.5762696862
 fh_5_5,39.0336293902,-94.5762602985
 fh_5_6,39.0335194867,-94.5762314647
 fh_5_7,39.0334543779,-94.5762106776
 fh_5_8,39.0334564614,-94.576267004
 fh_5_9,39.0334632327,-94.5763789862
